### Format: relation|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|relation_type|membertype;@id;@role|...
### Format: way|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|member nodes|...
### Format: node|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|node_lat|node_lon
node|51119102||||||||42.5418514|1.7139507
node|51119103||||||||42.5415805|1.7140403
node|51119104||||||||42.5412943|1.7140281
node|51119105||||||||42.5407463|1.7138195
node|51119106||||||||42.5404407|1.7136146
node|51119107||||||||42.5403155|1.7134592
node|51119108||||||||42.540188|1.7134476
node|51119109||||||||42.5401165|1.713543
node|51119110||||||||42.5401172|1.7136872
node|51119111||||||||42.540204|1.7138011
node|51119112||||||||42.5404676|1.7141083
node|51119113||||||||42.5405704|1.7143277
node|51119114||||||||42.5407595|1.7147642
node|51119116||||||||42.5409176|1.7151243
node|51119117||||||||42.5411287|1.7156196
node|51119118||||||||42.541284|1.715933
node|51119119||||||||42.541461|1.7161171
node|51119120||||||||42.5416914|1.7162135
node|51119121||||||||42.5419312|1.7161892
node|51119123||||||||42.5422558|1.7160956
node|51119124||||||||42.5423452|1.7161664
node|51119125||||||||42.5423825|1.7163133
node|51119126||||||||42.5423421|1.7165282
node|51119127||||||||42.5422099|1.7168197
node|51119128||||||||42.5415113|1.7182279
node|51119129||||||||42.5414335|1.7183434
node|51119130||||||||42.5411732|1.7185975
node|51119131||||||||42.5408181|1.7188542
node|51119407||||||||42.5483947|1.7055169
node|51119409||||||||42.54799|1.7055169
node|51119410||||||||42.5476169|1.7055169
node|51119411||||||||42.5473071|1.7056284
node|51119413||||||||42.5470162|1.705843
node|51119414||||||||42.5466811|1.7060833
node|51119416||||||||42.5463902|1.706358
node|51119417||||||||42.5461246|1.7067099
node|51119419||||||||42.5457832|1.7070961
node|51119420||||||||42.5452963|1.7074824
node|51119421||||||||42.5447967|1.7077999
node|51119422||||||||42.5443477|1.7079888
node|51119424||||||||42.5440395|1.7080486
node|51119425||||||||42.5437484|1.7081721
node|51119426||||||||42.5431556|1.7086173
node|51119427||||||||42.5428598|1.7089714
node|51119428||||||||42.542621|1.709315
node|51119430||||||||42.5423709|1.7097211
node|51119431||||||||42.5422148|1.7100255
node|51119432||||||||42.5421028|1.710289
node|51119433||||||||42.5420078|1.7107038
node|51119435||||||||42.5419056|1.7112344
node|51119541||||||||42.5475887|1.7041
node|51119542||||||||42.5480505|1.704183
node|51119543||||||||42.5483994|1.7043489
node|51119545||||||||42.5486427|1.7043903
node|51119546||||||||42.5488824|1.70436
node|51119547||||||||42.5493065|1.7040251
node|51119548||||||||42.5495239|1.7037859
node|51119550||||||||42.5496637|1.7036184
node|51119551||||||||42.5498165|1.7036056
node|51119553||||||||42.5498893|1.7037093
node|51119554||||||||42.5498952|1.7038704
node|51119555||||||||42.5498106|1.7040075
node|51119556||||||||42.5495808|1.7042348
node|51119558||||||||42.5493818|1.7044708
node|51119559||||||||42.5490333|1.7049675
node|51119560||||||||42.5487109|1.7053109
node|51119613||||||||42.5465077|1.7042659
node|51119615||||||||42.5467556|1.7041926
node|51119616||||||||42.5470141|1.704116
node|51119617||||||||42.547396|1.7040729
node|51119951||||||||42.5431828|1.7035181
node|51119952||||||||42.5429468|1.7034268
node|51119953||||||||42.542857|1.7035012
node|51119954||||||||42.54283|1.7035857
node|51119956||||||||42.5428438|1.7037188
node|51119957||||||||42.5429667|1.7038395
node|51119958||||||||42.543279|1.7038947
node|51119959||||||||42.5436838|1.7038801
node|51119960||||||||42.5439538|1.7037707
node|51119961||||||||42.5440486|1.7037166
node|51119962||||||||42.5442646|1.7036422
node|51119964||||||||42.5443311|1.7037256
node|51119965||||||||42.5443602|1.7038982
node|51119966||||||||42.5443302|1.7039805
node|51119968||||||||42.5442555|1.7040459
node|51119969||||||||42.5440046|1.7040648
node|51119970||||||||42.543728|1.7041779
node|51119972||||||||42.5434434|1.7043152
node|51119973||||||||42.542877|1.7045882
node|51119974||||||||42.542656|1.7046638
node|51119976||||||||42.5423735|1.7046988
node|51119977||||||||42.5422214|1.7046864
node|51119978||||||||42.5421051|1.7048082
node|51119979||||||||42.5420918|1.7048894
node|51119980||||||||42.5420976|1.7049672
node|51119981||||||||42.5422438|1.705116
node|51119983||||||||42.5422912|1.7051025
node|51119984||||||||42.5424552|1.7049767
node|51119986||||||||42.5425566|1.7049496
node|51119987||||||||42.5427626|1.7049676
node|51119988||||||||42.5431532|1.7049947
node|51119989||||||||42.5436185|1.705024
node|51119990||||||||42.5438295|1.7049834
node|51119991||||||||42.5442416|1.7048819
node|51119992||||||||42.5448166|1.7047308
node|51119993||||||||42.5453434|1.7045616
node|51119994||||||||42.5457788|1.7044466
node|51120868||||||||42.5564816|1.6896382
node|51120869||||||||42.555647|1.6903677
node|51120871||||||||42.5547871|1.6911316
node|51120872||||||||42.5540095|1.6918698
node|51120873||||||||42.5533203|1.6927195
node|51120874||||||||42.5529093|1.6933117
node|51120881||||||||42.5501462|1.6976118
node|51120882||||||||42.549985|1.6979036
node|51120883||||||||42.5497405|1.6984067
node|51120884||||||||42.5494602|1.6988475
node|51120885||||||||42.5490903|1.6992855
node|51120887||||||||42.5485753|1.6997603
node|51120888||||||||42.54823|1.6999657
node|51120889||||||||42.54801|1.7000529
node|51120890||||||||42.5476509|1.7001909
node|51120891||||||||42.5470565|1.7006595
node|51120892||||||||42.5464069|1.7011239
node|51120893||||||||42.5459075|1.7014573
node|51120895||||||||42.5454101|1.7019549
node|51120896||||||||42.5449232|1.702487
node|51120897||||||||42.5443288|1.7030707
node|51120898||||||||42.5438001|1.7034425
node|51120899||||||||42.5435683|1.7035508
node|51120900||||||||42.5433548|1.7035497
node|51120956||||||||42.5577483|1.6884125
node|51120957||||||||42.5576697|1.6885201
node|51120959||||||||42.5570951|1.6891576
node|51121326||||||||42.5651156|1.6796252
node|51121327||||||||42.5646275|1.6796495
node|51121329||||||||42.5644853|1.6797146
node|51121330||||||||42.5643146|1.6798691
node|51121331||||||||42.5640316|1.6801394
node|51121332||||||||42.562038|1.6821803
node|51121334||||||||42.5615329|1.6827803
node|51121335||||||||42.5612168|1.6831751
node|51121337||||||||42.5609173|1.6837751
node|51121338||||||||42.560698|1.6841855
node|51121339||||||||42.560199|1.6848917
node|51121341||||||||42.5595795|1.6857758
node|51121342||||||||42.5588967|1.6866856
node|51121362||||||||42.5658253|1.6794501
node|51121363||||||||42.5654509|1.6795906
node|51121951||||||||42.5832981|1.662995
node|51121953||||||||42.5838975|1.6635654
node|51121956||||||||42.5839285|1.6637444
node|51121957||||||||42.58393|1.6639153
node|51121958||||||||42.5838818|1.6641384
node|51121959||||||||42.5837777|1.6643722
node|51121960||||||||42.5836077|1.6645562
node|51121962||||||||42.5833813|1.6646553
node|51121964||||||||42.5831108|1.6646442
node|51121965||||||||42.5823431|1.6644906
node|51121967||||||||42.5818273|1.6644709
node|51121968||||||||42.581471|1.6644548
node|51121970||||||||42.5812684|1.6644234
node|51121972||||||||42.5810596|1.6643707
node|51121973||||||||42.5796987|1.6638359
node|51121974||||||||42.5794753|1.6637766
node|51121976||||||||42.5792675|1.6637373
node|51121977||||||||42.5789103|1.6636198
node|51121979||||||||42.578799|1.6634864
node|51121981||||||||42.578584|1.6632378
node|51121982||||||||42.5783167|1.663087
node|51121984||||||||42.5781113|1.6630102
node|51121985||||||||42.57778|1.6630365
node|51121987||||||||42.5776496|1.6631599
node|51121988||||||||42.577531|1.6637912
node|51121989|||crossing|||||42.57746|1.6642167
node|51121991||||||||42.577311|1.6648925
node|51121992|||crossing|||||42.5772026|1.6653804
node|51121993||||||||42.577094|1.6658947
node|51121997||||||||42.5767921|1.6671248
node|51121998||||||||42.5767169|1.6677507
node|51122000||||||||42.5766979|1.6680254
node|51122001||||||||42.5763012|1.6690236
node|51122003|||crossing|||||42.5761236|1.6693961
node|51122005||||||||42.5759085|1.6700741
node|51122006||||||||42.5757072|1.6706825
node|51122007||||||||42.5756243|1.6709666
node|51122009||||||||42.5752995|1.671877
node|51122010||||||||42.5749805|1.6726025
node|51122012||||||||42.5747484|1.6728653
node|51122014||||||||42.5744914|1.6731244
node|51122015||||||||42.5743866|1.6733948
node|51122016||||||||42.5743357|1.6736774
node|51122018||||||||42.57396|1.6742425
node|51122020||||||||42.5734375|1.6746023
node|51122022||||||||42.5731322|1.6748787
node|51122023||||||||42.5726427|1.6753625
node|51122025||||||||42.5723133|1.6758219
node|51122027||||||||42.5719675|1.6763565
node|51122028||||||||42.5716408|1.6767464
node|51122029||||||||42.5712742|1.6770554
node|51122030||||||||42.5708444|1.6773386
node|51122032||||||||42.5705978|1.6775189
node|51122033||||||||42.5701562|1.6779116
node|51122034||||||||42.5698358|1.6781717
node|51122036||||||||42.5693589|1.6783257
node|51122038||||||||42.5682625|1.6785986
node|51122039||||||||42.5679496|1.6786129
node|51122041||||||||42.5675933|1.6785864
node|51122042||||||||42.5673193|1.6785844
node|51122044||||||||42.5670498|1.678686
node|51122045||||||||42.566692|1.6788995
node|51122790||||||||42.5795755|1.6433145
node|51122791||||||||42.579615|1.6439716
node|51122792||||||||42.5797454|1.6446636
node|51122793||||||||42.5800215|1.6459151
node|51122795||||||||42.5801475|1.6464057
node|51122796||||||||42.5802751|1.6469834
node|51122797||||||||42.5802731|1.6473297
node|51122798||||||||42.5801902|1.6477803
node|51122800||||||||42.5800282|1.6482148
node|51122801||||||||42.5797241|1.6490892
node|51122802|||crossing|||||42.5795088|1.6494782
node|51122804||||||||42.5790607|1.6497574
node|51122805||||||||42.5789321|1.6498456
node|51122806||||||||42.5787777|1.6500968
node|51122807||||||||42.5787069|1.6503372
node|51122808||||||||42.5784745|1.6515721
node|51122809||||||||42.5782748|1.6521999
node|51122810||||||||42.5782034|1.652372
node|51122811||||||||42.5780907|1.6526727
node|51122812||||||||42.5780119|1.6530142
node|51122814||||||||42.5778754|1.6534559
node|51122815||||||||42.5776542|1.6544161
node|51122816||||||||42.5775958|1.654931
node|51122817||||||||42.5776275|1.6554055
node|51122819||||||||42.577682|1.6557567
node|51122820||||||||42.5778272|1.656225
node|51122821||||||||42.5780087|1.6566687
node|51122822||||||||42.5781791|1.6570175
node|51122823||||||||42.5787755|1.6578272
node|51122824||||||||42.5795319|1.6589713
node|51122825||||||||42.5800916|1.6598199
node|51122826||||||||42.5805394|1.6604014
node|51122827||||||||42.5809334|1.6608519
node|51122828||||||||42.5819248|1.661841
node|51122829||||||||42.5823169|1.6622219
node|51122830||||||||42.5827999|1.6626287
node|51123230||||||||42.5783413|1.6354459
node|51123231||||||||42.5784554|1.635841
node|51123232||||||||42.5788075|1.6367033
node|51123233||||||||42.5788651|1.6371937
node|51123235||||||||42.5787717|1.6383497
node|51123236||||||||42.5789159|1.6392482
node|51123237||||||||42.5792021|1.6398625
node|51123238||||||||42.579472|1.6407779
node|51123262||||||||42.5781533|1.6336812
node|51123907||||||||42.5756767|1.6224469
node|51123908||||||||42.575786|1.6226888
node|51123909||||||||42.5759381|1.6232091
node|51123910||||||||42.5761547|1.6242076
node|51123911||||||||42.5763074|1.6246307
node|51123912||||||||42.5767106|1.6253449
